feature,importance
sugar,0.19142597590099014
sugar_pct_meal_limit,0.1587048741477165
cholesterol,0.1518392700526087
sat_fat_pct_daily,0.12465015691504559
cholesterol_pct_daily,0.12269658534315968
sat_fat,0.11313430733865237
fat_pct_daily,0.030222730071874482
fat,0.024398913255614375
protein,0.021515443340403496
carbs,0.017121821308090715
carbs_pct_daily,0.014891844992266203
calories,0.014888737124475629
fiber,0.00460941800474352
fiber_pct_daily,0.004050639251366574
sodium_pct_daily,0.0038364859363495952
sodium,0.0020127970166424316
