food_name,calories,fat,sat_fat,carbs,sugar,protein,fiber,cholesterol,sodium,sodium_pct_daily,cholesterol_pct_daily,sat_fat_pct_daily,fat_pct_daily,carbs_pct_daily,fiber_pct_daily,sugar_pct_meal_limit,risk_level,risk_label,chatbot_summary,recommend_score
navy beans canned,296,1.1,0.3,53.6,0.7,19.7,13.4,0.0,1.2,0.06,0.0,1.5,1.6923076923076923,17.866666666666667,53.6,6.999999999999999,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น,0.9417505494505495
white beans canned,299,0.8,0.2,55.5,0.8,19.0,12.6,0.0,0.079,0.0039499999999999,0.0,1.0,1.2307692307692308,18.5,50.4,8.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น,0.9370967486263737
adzuki beans cooked,294,0.2,0.067,57.0,0.0,17.3,16.8,0.0,0.079,0.0039499999999999,0.0,0.335,0.3076923076923077,19.0,67.2,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น,0.9319126826923078
whole wheat macaroni dry,365,1.5,0.3,78.8,0.0,15.4,8.7,0.0,0.028,0.0014,0.0,1.5,2.307692307692308,26.266666666666666,34.8,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น,0.9166103791208792
instant coffee powder,353,0.5,0.2,75.4,0.0,12.2,0.0,0.0,0.051,0.00255,0.0,1.0,0.7692307692307693,25.133333333333336,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น,0.8949973585164837
white beans cooked,249,0.6,0.2,44.9,0.6,17.4,11.3,0.0,0.045,0.00225,0.0,1.0,0.923076923076923,14.966666666666669,45.2,6.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น,0.8938457623626375
dill weed dried,253,4.4,0.2,55.8,0.0,20.0,13.6,0.0,0.2,0.01,0.0,1.0,6.76923076923077,18.6,54.400000000000006,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น,0.8937271978021979
chickpeas canned,352,7.0,0.5,57.0,0.0,17.8,0.0,0.0,0.6,0.03,0.0,2.5,10.76923076923077,19.0,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น,0.8903629120879122
triticale flour,439,2.4,0.4,95.1,0.0,17.1,19.0,0.0,0.096,0.0048,0.0,2.0,3.692307692307692,31.7,76.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น,0.8851645494505496
cranberry beans cooked,241,0.8,0.2,43.3,0.0,16.5,17.7,0.0,0.4,0.02,0.0,1.0,1.2307692307692308,14.433333333333332,70.8,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น,0.8845835164835165
yellow beans cooked,255,1.9,0.5,44.7,0.0,16.2,18.4,0.0,0.086,0.0042999999999999,0.0,2.5,2.923076923076923,14.900000000000002,73.6,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น,0.8762589587912089
whole grain wheat flour,408,3.0,0.5,86.4,0.5,15.9,12.8,0.0,0.027,0.0013499999999999,0.0,2.5,4.615384615384616,28.800000000000004,51.2,5.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น,0.8734816332417583
pink beans cooked,252,0.8,0.2,47.2,0.6,15.3,9.0,0.0,0.075,0.00375,0.0,1.0,1.2307692307692308,15.733333333333336,36.0,6.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น,0.8669911057692308
spaghetti cooked,363,2.1,0.4,71.0,1.3,13.3,4.1,0.0,0.089,0.00445,0.0,2.0,3.230769230769231,23.666666666666668,16.4,13.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น,0.8650572843406595
hyacinth beans cooked,227,1.1,0.2,40.2,0.0,15.8,0.0,0.0,0.0,0.0,0.0,1.0,1.6923076923076923,13.4,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น,0.864521978021978
pinto beans cooked,245,1.1,0.2,44.8,0.6,15.4,15.4,0.0,0.085,0.00425,0.0,1.0,1.6923076923076923,14.933333333333332,61.6,6.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น,0.8607758173076925
black turtle beans cooked,241,0.6,0.2,45.0,0.6,15.1,15.4,0.0,0.06,0.0029999999999999,0.0,1.0,0.923076923076923,15.0,61.6,6.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น,0.860518708791209
navy beans cooked,255,1.1,0.2,47.4,0.7,15.0,19.1,0.0,0.4,0.02,0.0,1.0,1.6923076923076923,15.8,76.4,6.999999999999999,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น,0.8598719780219781
black beans cooked,227,0.9,0.2,40.8,0.0,15.2,15.0,0.0,0.008,0.0003999999999999,0.0,1.0,1.3846153846153846,13.599999999999998,60.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น,0.8593266703296705
split pea soup with ham,381,8.9,3.5,56.2,0.0,20.7,4.6,16.2,1.7,0.0849999999999999,5.4,17.5,13.692307692307692,18.733333333333334,18.4,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น,0.8567059065934066
