food_name,calories,fat,sat_fat,carbs,sugar,protein,fiber,cholesterol,sodium,sodium_pct_daily,cholesterol_pct_daily,sat_fat_pct_daily,fat_pct_daily,carbs_pct_daily,fiber_pct_daily,sugar_pct_meal_limit,risk_level,risk_label,chatbot_summary
baking soda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.065,0.0,0.0,0.0,0.0,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
milk chocolate with rice cereal,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
salt,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
veal shoulder raw,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
coffee decaffeinated,0,0.0,0.087,0.0,0.0,0.2,0.0,0.0,0.058,0.0029,0.0,0.43499999999999994,0.0,0.0,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
powerade zero ion4 coca cola,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0014999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
water dannon,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
tap water,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0008999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
table water,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
water,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0012000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
cola light coca cola,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087,0.00435,0.0,0.0,0.0,0.0,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
club soda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
maitake mushrooms,0,0.017,0.011,0.072,0.043,0.016,0.041,0.0,0.059,0.00295,0.0,0.05499999999999999,0.026153846153846156,0.023999999999999997,0.164,0.43,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
epazote,0,0.06,0.0,0.094,0.0,0.059,0.051,0.0,0.021,0.0010500000000000002,0.0,0.0,0.0923076923076923,0.03133333333333333,0.20399999999999996,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
lambs quarters raw,0,0.067,0.0,0.069,0.0,0.08,0.046,0.0,0.033,0.0016500000000000002,0.0,0.0,0.1030769230769231,0.023,0.184,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
lemon peel,1,0.002,0.057,0.3,0.054,0.032,0.2,0.0,0.028,0.0014,0.0,0.28500000000000003,0.003076923076923077,0.1,0.8,0.54,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
tabasco sauce,1,0.002,0.051,0.006,0.067,0.045,0.013,0.0,0.075,0.00375,0.0,0.25499999999999995,0.003076923076923077,0.002,0.052,0.67,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
peppermint,1,0.004,0.016,0.2,0.0,0.038,0.1,0.0,0.007,0.00035,0.0,0.08,0.006153846153846154,0.06666666666666668,0.4,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
laver seaweed,1,0.012,0.066,0.1,0.071,0.2,0.09,0.0,0.075,0.00375,0.0,0.33,0.018461538461538463,0.03333333333333334,0.36,0.71,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
spearmint dried,1,0.018,0.09,0.3,0.0,0.094,0.1,0.0,0.012,0.0006000000000000001,0.0,0.44999999999999996,0.02769230769230769,0.1,0.4,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
pepper hot sauce,1,0.018,0.057,0.031,0.065,0.024,0.071,0.0,0.1,0.005,0.0,0.28500000000000003,0.02769230769230769,0.010333333333333333,0.284,0.65,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
crimini mushrooms,1,0.018,0.054,0.3,0.1,0.2,0.064,0.0,0.086,0.004299999999999999,0.0,0.27,0.02769230769230769,0.1,0.256,1.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
radish raw,1,0.026,0.084,0.2,0.066,0.042,0.002,0.0,0.033,0.0016500000000000002,0.0,0.42000000000000004,0.039999999999999994,0.06666666666666668,0.008,0.66,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
chives dried,1,0.055,0.051,0.1,0.0,0.013,0.041,0.0,0.04,0.002,0.0,0.25499999999999995,0.08461538461538462,0.03333333333333334,0.164,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
agar,1,0.058,0.087,0.3,0.005,0.053,0.027,0.0,0.049,0.0024500000000000004,0.0,0.43499999999999994,0.08923076923076924,0.1,0.108,0.05,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
thyme fresh,1,0.068,0.07,0.2,0.0,0.091,0.1,0.0,0.017,0.00085,0.0,0.35000000000000003,0.10461538461538462,0.06666666666666668,0.4,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
pinyon pine nuts dried,1,0.073,0.022,0.01,0.0,0.083,0.005,0.0,0.07,0.0035000000000000005,0.0,0.10999999999999999,0.1123076923076923,0.0033333333333333335,0.02,0.0,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
alfalfa seeds,1,0.075,0.029,0.002,0.058,0.1,0.015,0.0,0.048,0.0024000000000000002,0.0,0.14500000000000002,0.11538461538461538,0.0006666666666666666,0.06,0.5800000000000001,Low,0,ยังไม่พบตัวชี้วัดที่เกินเกณฑ์เบื้องต้น
